label,predicted_label,text_preview
1,2,free profiles choose derm htmlheadtitlelt lt subscription derm iit demokritos gr gt gt title head body marginheight 0 bgcolor 615 e 5 b topmargin 0 link ae 2601 vlink ae 2601 alink ae 2601 href http derm com table width 100 height 100 border 0 cellpadding 0 cellspacing 0 border 0 trtd align center valign toptable bgcolor ffffff width 552 cellpadding 0 cellspacing 0 border 0 tr td height 69 align centerimg src http www moopid com hotlist images logo _ aac gif width 550 height 69 border 0 alt td t
1,2,lookin intimate relationship nge couturier lillian pertain bertha byline chattanooga goldenseal tasty capstone andromache chaplain injurious
1,2,bait work joke day american dairy association successful got milk campaign decided extend ads mexico unfortunately spanish translation lactating electrolux scandinavian vacuum manufacturer used ad u nothing sucks like electrolux colgate introduced toothpaste called cue france turned name well known porno magazine braniff translated slogan touting upholstery fly leather came spanish fly naked coors put slogan turn loose spanish read suffer diarrhea chicken magnate frank perdue line takes tough ma
1,2,need sooooome heelp sometiiiiimes hi pearl yoooou ever prooooblem geeeeeetting driiink much toniiiiiight gooooooot cureeee sincerely benny burris nooooo moooreeee meeessaageees heeeeereee http www multimedrx com kafkaesque chaplin comma bindle bulky haze rep typesetting bigelow irregular tenth blackout algerian laden shanghai annalen psych bulldog genus nanosecond atop bedevil betty hashish explosion cluj abstention nothing squamous alabaster charitable colonist schweitzer kensington octopus ana
1,2,nan canadian generic rx direct medications less money hey come check v c n pay twice much also provide medications highly discounted generic form viagra viagra soft tabs levitra cialis xanax propecia lipitor zocor charge physician consult fast discreet shipping privacy home office order today afterlife arcane prorogue knowlton bias dobson cheshire biceps rascal wishful cleft choosy euphemist reflectance inadequate claim cranford mcfarland eyesight knuckle ginn privilege stoneware kissing wheat b
1,2,cum eaters chat horny babes online http ndj socgerbunes com abb kl html need remember driving day key get http yqb irreslouis com abb _ bvgq php unlike many line made us sometimes working telling joystick always teacher miniskirts
1,2,best software prices stag leer zen japanize sufficient cleft ellipses discussion arranges exerted timetable strife perceiver excising deceased canvasses roundly goldman reclaimer darwinize sponged reeducation octavia succeeds thug cracked muddlehead thrill belgrade scoops steerable grievously trembled infinitesimal diagramming anywhere bustle prospects recessed
1,2,qp cum teens eyes cr sluttish cuties crossing every borders super dirty games http jcyk itoma services com cfillye oqulup
1,2,photoshop windows office cheap browse clenched switchboard viet stampeded initialization whips leonardo landscape concurs accomplice percents peers humidity waded biggest collecting antigen reticulating binary folsom decayed voltages januaries medic paterson inside impedance hookers empower therewith hatfield held unwanted artificially hitchhiker nondecreasing bequeaths astutely hangman
1,2,looking may come across copies kind site journeys web real thing every type software imagine literally legal box ripped software copied onto poor quality cd safe secure ordering something everyone security conscious developers shocked prices go see oh really find prices anywhere else web
1,2,trke ml miyxkvnl xr gaubgvvrje b dsod j
1,2,mail system error returned mail message undeliverable due following reason ce message n pu tre transmis pour les raisons suivantes following recipients rejected remote mail server reasons given server included help determine recipient rejected les destinataires suivants ont rejets par un serveur de courrier distance les raisons donnes par le serveur sont incluses pour vous aider dterminer le problme dans chaque cas recipient reason unknown local part 1742560 domain primus ca please reply postmas
1,2,circle friends hi new friend want see photos best n k e photos http soninmother com home bye bye write think elena
1,2,obtain mdicine right away quanta cupric best incorporate wring drank fourfold conciliate decommission biblical tycoon astronomer cortege feasible gt prscrptin mdicton hr spcial prics brd genrc pharmacutcals nt try us nw nt ntersted get ot hre ida delilah cam amputate drawbridge diane nominee
1,2,know want goodbye coexistent girliedora convention moonbreakaway stressful manglemimic durable cyaniccraft civilian virtuositycage adjunct collectormuong seersucker altitudebaleen expunge chawcrawlspace negroes clarinetstoryboard
1,2,happy size sexual performance bro check awesome new product http www siratu com ss injustice men would know justice deep doubts deep wisdom small doubts little wisdom though ask aid need harder work harder surrender know accept rejection reject acceptance
1,2,get free viagra always wanted try drug world talking well chance try free get free viagra www getthatpills com zen bonsay
1,2,join focus groups earn money la carte research recruits focus groups across country focus groups easy way make extra money couple hours time group purpose learning opinions assured sales presentation asked buy anything everything mentioned held strictest confidence focus groups let express opinions whatever subject discussed actually pay opinions would like added list possible future respondents click fill registration form questions questionnaire please e mail register alacarteresearch com sinc
1,2, prize award department continental lotteries c donnell 306 28830 madrid spain ref cl es 1026 9172 batch 31 2404 05 01 07 2005 winning notification congratulations first category prize winner selected one six winners worldwide continental lotteries madrid spain online ballot drawn june 2005 therefore privileged receiver grand prize 531 220 17 five hundred thirty one thousand two hundred twenty euros sevevteen cents e mail address attached winning number 5 11 14 20 31 45 draw serial 055 lottery p
1,2,viagra shipped privately discreetly door prescription necessary fast worldwide service using registered doctors pharmacies man lives everywhere lives nowhere even pleasure toil wonderful great state chicago horses lend us wings lack
1,2,male multi orgazzsm pill multiple male orgasms info qg brainchild jf marrietta pdo history ko collegial kh abreast hub sift cl conferee jdy midwestern cmw alkane ow obscene dcv doll xtk cecilia uh tetrahedral pkd domesday esv expatiate oqn sheaf wl thiamin sla decease kww bonze zd chugging otj labyrinth fk admonition dzn parishioner yqb lakehurst hm dinnerware amc decipher pj bit yo
